TransactionID,SaleDate,ItemTitle,SalePrice,SalesChannel,Country,Quantity,Brand,Category,SaleYear,SaleMonth
2245,2024-12-30,BNIB Chanel 25C Beige Grained Leather CC Clutch Bag with Handle Gold HW,4680.0,Organic,United States,1,Chanel,Handbag,2024,December
2244,2024-12-25,NEW Chanel Coco Neige 2024/2025 Black White CC Logo Shearling Earmuffs,1890.0,Organic,United States,1,Chanel,Accessories,2024,December
2243,2024-12-25,Hermes Birkin 25 Rouge H Togo Gold Hardware Y With Original Receipt,19990.0,Organic,United States,1,Hermès,Handbag,2024,December
2242,2024-12-25,Chanel 22A CC Logo Sneakers White/Black 37.5 BNIB,1799.0,Organic,United States,1,Chanel,Shoes,2024,December
2241,2024-12-25,BNIB Hermes Funny Ice Cream Twilly Beige / Crème / Vert Amande,189.0,Organic,United States,1,Hermès,Other,2024,December
2238,2024-12-24,BNIB Hermès In the Pocket Twilly Brown/Beige,178.0,Organic,United States,1,Hermès,Other,2024,December
2237,2024-12-20,BNIB Hermes Hermesway Phone Case Crossbody Strap Celeste / Epsom,2240.0,Organic,United States,1,Hermès,Other,2024,December
2236,2024-12-18,NEW Hermes Les Foiles Du Fauborg Scarf 90 Carre Silk Soie Blue jean/anthracite,440.0,Organic,United States,1,Hermès,Accessories,2024,December
2235,2024-12-17,BNIB Hermes Mini Kelly Gold Epsom Calfskin Gold Hardware W 2024 Complete Receipt,26910.0,Organic,United States,1,Hermès,Handbag,2024,December
2234,2024-12-17,Hermes Scarf Sangles en Zigzag losange 07 Etoupe/Ciel/Orange,620.0,Organic,United States,1,Hermès,Accessories,2024,December
2233,2024-12-16,BNIB Chanel CC Pearl Silver Hardware Long Necklace with Crystals 24C,1999.0,Organic,United States,1,Chanel,Jewelry,2024,December
2002,2024-01-08,Chanel 23K Denim CC Logo Ballerinas Flats Size 38 BNIB,1197.0,Organic,United States,1,Chanel,Other,2024,January
2232,2024-12-13,2024 BNIB Rolex 126610LV Green Starbucks MK2 Factory Stickers Full Set Fresh,14830.0,Organic,United States,1,Rolex,Other,2024,December
2231,2024-12-13,Hermes Heaven Beanie Cashmere Knit Me UI Chataigne/Biscuit,440.0,Organic,United States,1,Hermès,Other,2024,December
2230,2024-12-12,BNIB Hermes Birkin 25 touch matte alligator in noir/black gold hw with rec,35900.0,Organic,United States,1,Hermès,Handbag,2024,December
2229,2024-12-11,NEW Goyard Artois PM Bag Grey with with Palladium HW,2420.0,Organic,United States,1,Goyard,Handbag,2024,December
2228,2024-12-10,BNIB Van Cleef & Arpels Alhambra Bracelet 18k Yellow Gold In Malachite Green,6273.0,Organic,United States,1,Other,Jewelry,2024,December
2227,2024-12-10,BNIB Hermes Mini Evelyne 16 amazone  clemencebull calfskin/wooly ac gold,2998.0,Organic,United States,1,Hermès,Other,2024,December
2226,2024-12-08,BNIB Hermes Carre Twill Brides de Gala forever scarf 90 noir / crème / gold,440.0,Organic,United States,1,Hermès,Accessories,2024,December
2225,2024-12-08,NEW Hermes Kelly Belt 18 Epsom Calfskin Etoupe Rose Gold HW With Box,990.0,Organic,United States,1,Hermès,Handbag,2024,December
2224,2024-12-06,NEW Hermes Les Folies du Faubourg Carre Scarf 90 Silk 07 PN/Vert Olive/Orange,440.0,Organic,United States,1,Hermès,Accessories,2024,December
2223,2024-12-06,BNIB Hermes Mini Kelly Double Tour bracelet Swift Calfskin T2 3Q Rose Sakura,396.0,Organic,United States,1,Hermès,Handbag,2024,December
2222,2024-12-04,BNIB Hermes Kelly bracelet pm Full diamond 18K White Gold Size SH $60K Retail,23000.0,Organic,United States,1,Hermès,Handbag,2024,December
2221,2024-12-06,Hermes Birkin 25 Noir Black Togo Gold Hardware W 2024 With Receipt BNIB,26820.0,Organic,United States,1,Hermès,Handbag,2024,December
2220,2024-12-04,BNIB Hermes Birkin 25 Mauve Sylvestre Swift with Rose Gold HW Complete Receipt,22400.0,Organic,United States,1,Hermès,Handbag,2024,December
2219,2024-12-03,CHANEL 23P Patent Calfskin Resin Quilted CC Heart Clutch With Gold Hardware BNIB,5099.0,Organic,United States,1,Chanel,Handbag,2024,December
2218,2024-12-02,BNIB CHANEL 23C Black Moccasin Loafers With Platform Heels Gold CC Logo Size 39,1701.0,Organic,United States,1,Chanel,Shoes,2024,December
2217,2024-11-28,Hermes Fontaine 60 High Knee boots H Knit In Noir Size 38 BNIB,928.0,Organic,United States,1,Hermès,Shoes,2024,November
2216,2024-11-25,NEW Van Cleef Arpels Holiday Pendant Necklace 2024 Guilloché Alhambra Diamond,5995.0,Organic,United States,1,Other,Jewelry,2024,November
2215,2024-11-24,NEW Hermes Hooded Coat With Mesh Detail Runway FW24 Rouge Amarante Size 34 $10K,4950.0,Organic,United States,1,Hermès,Other,2024,November
2214,2024-11-23,BNIB Chanel CC Pearl Silver Hardware Long Necklace with Crystals 24C,1999.0,Organic,United States,1,Chanel,Jewelry,2024,November
2213,2024-11-22,BNIB Chanel Nano Shopping Bag Shiny Calfskin Gold-Tone Black Small Size 24A,5980.0,Organic,United States,1,Chanel,Handbag,2024,November
2212,2024-11-21,Hermes Noir Funk Ankle Boot Size 37 NEW - SOLD OUT IN STORES,1520.0,Organic,United States,1,Hermès,Other,2024,November
2211,2024-11-18,BNIB LOUIS VUITTON Nano Speedy Vivienne Christmas Edition 2023,1999.0,Organic,United States,1,Louis Vuitton,Handbag,2024,November
2210,2024-11-16,BNIB Hermes Kelly chaine necklace gold with diamonds DIA YG-18k Over $16K Retail,9900.0,Organic,United States,1,Hermès,Handbag,2024,November
2209,2024-11-15,New In Box Hermes Etriviere Tray in solid natural mahogany/brique Leather Detail,990.0,Organic,United States,1,Hermès,Other,2024,November
2208,2024-11-14,NEW Chanel Earmuffs  Agneau/Beige Coco Neige 2024,1395.0,Organic,United States,1,Chanel,Accessories,2024,November
2207,2024-11-08,Hermes Chaine d'ancre  Necklace Silver Enchainee pendant,2970.0,Organic,United States,1,Hermès,Jewelry,2024,November
2206,2024-11-06,Chanel Beanie Cashmere 24C In Grey/pink CC Logo All Size NEW,684.0,Organic,United States,1,Chanel,Other,2024,November
2205,2024-10-30,BNIB Hermes Avalon III throw blanket Écru / Gris Clair,1494.0,Organic,United States,1,Hermès,Other,2024,October
2204,2024-10-26,BNIB Hermes Poste Aux Lettres Tunique Rouge Grenate Dress Size 36,1098.0,Organic,United States,1,Hermès,Other,2024,October
2203,2024-10-26,NEW Chanel 23A Blue Jeans Denim Jacket CC Logo camellia Flower Print Size 36,6840.0,Organic,United States,1,Chanel,Other,2024,October
2202,2024-10-24,BNIB Hermes Oran Sandal Lizard In Rose Flash Pink Size 38,1299.0,Organic,United States,1,Hermès,Other,2024,October
2201,2024-10-20,"BNIB HERMES Kelly watch, Mini model, 16 mm With Diamond Set - New Model",3960.0,Organic,United States,1,Hermès,Handbag,2024,October
2200,2024-10-09,"BNIB Hermès Arceau Le Temps Voyageur watch, Large model, 38 mm $35K Retail",18900.0,Organic,United States,1,Hermès,Watch,2024,October
2199,2024-10-09,BNIB Hermes Iota Mule in Black Noir Palladium Hardware Size 37.5 Over $2000,1250.0,Organic,United States,1,Hermès,Other,2024,October
2198,2024-10-04,BNIB Hermes Oz Mule Shearling Naturel Suede/calfskin Palladium Hardware Size 38,1647.0,Organic,United States,1,Hermès,Other,2024,October
2197,2024-09-28,BNIB HERMES Chypre Sandale in Calfskin leather in Naturel size 41 - US 10,990.0,Organic,United States,1,Hermès,Other,2024,September
2196,2024-09-20,BNIB CHANEL Black Quilted Flap Turnlock Gold CC Logo Loafers Size 38,1890.0,Organic,United States,1,Chanel,Shoes,2024,September
2195,2024-09-19,"NEW Hermes ""Effet Kaleidoscope"" short-sleeve sweater Beige Glaise size 36",990.0,Organic,United States,1,Hermès,Other,2024,September
